timestamp,date,time,source,total_objects,object_names,image_path
2026-06-07T17:40:46.345292,2026-06-07,17:40:46,webcam,1,person,output/object\webcam_detect_20260607_174046_3402.jpg
2026-06-07T17:40:49.365054,2026-06-07,17:40:49,webcam,1,person,output/object\webcam_detect_20260607_174049_3579.jpg
2026-06-07T17:40:52.706369,2026-06-07,17:40:52,webcam,1,person,output/object\webcam_detect_20260607_174052_7005.jpg
2026-06-07T17:40:55.738132,2026-06-07,17:40:55,webcam,1,person,output/object\webcam_detect_20260607_174055_7332.jpg
2026-06-07T17:40:58.756122,2026-06-07,17:40:58,webcam,1,person,output/object\webcam_detect_20260607_174058_7506.jpg
2026-06-07T20:58:43.141219,2026-06-07,20:58:43,webcam,1,person,output/object\webcam_detect_20260607_205843_1385.jpg
2026-06-13T15:47:39.505657,2026-06-13,15:47:39,webcam,1,person,output/object\webcam_detect_20260613_154739_4952.jpg
2026-06-13T15:47:42.577311,2026-06-13,15:47:42,webcam,1,banana,output/object\webcam_detect_20260613_154742_5679.jpg
2026-06-13T15:47:51.271254,2026-06-13,15:47:51,webcam,1,cat,output/object\webcam_detect_20260613_154751_2666.jpg
2026-06-13T20:55:25.407097,2026-06-13,20:55:25,webcam,2,person,output/object\webcam_detect_20260613_205525_4008.jpg
2026-06-13T20:55:28.508985,2026-06-13,20:55:28,webcam,2,person,output/object\webcam_detect_20260613_205528_5032.jpg
2026-06-13T20:55:32.056916,2026-06-13,20:55:32,webcam,2,person,output/object\webcam_detect_20260613_205532_0523.jpg
2026-06-13T20:55:35.213623,2026-06-13,20:55:35,webcam,2,person,output/object\webcam_detect_20260613_205535_2068.jpg
2026-06-13T20:55:38.297510,2026-06-13,20:55:38,webcam,2,person,output/object\webcam_detect_20260613_205538_2920.jpg
2026-06-13T20:55:41.515809,2026-06-13,20:55:41,webcam,3,"cell phone, person",output/object\webcam_detect_20260613_205541_5089.jpg
2026-06-13T20:55:44.583735,2026-06-13,20:55:44,webcam,2,person,output/object\webcam_detect_20260613_205544_5798.jpg
2026-06-13T20:55:47.744745,2026-06-13,20:55:47,webcam,1,person,output/object\webcam_detect_20260613_205547_7384.jpg
2026-06-13T20:55:50.882813,2026-06-13,20:55:50,webcam,2,person,output/object\webcam_detect_20260613_205550_8768.jpg
2026-06-13T20:55:53.981433,2026-06-13,20:55:53,webcam,2,person,output/object\webcam_detect_20260613_205553_9760.jpg
2026-06-13T20:55:57.085453,2026-06-13,20:55:57,webcam,1,person,output/object\webcam_detect_20260613_205557_0790.jpg
2026-06-13T20:56:00.158054,2026-06-13,20:56:00,webcam,1,person,output/object\webcam_detect_20260613_205600_1515.jpg
2026-06-13T20:56:03.364641,2026-06-13,20:56:03,webcam,2,person,output/object\webcam_detect_20260613_205603_3576.jpg
2026-06-13T22:03:33.160969,2026-06-13,22:03:33,webcam,2,"person, chair",output/object\webcam_detect_20260613_220333_1573.jpg
2026-06-13T22:03:37.026771,2026-06-13,22:03:37,webcam,2,"person, chair",output/object\webcam_detect_20260613_220337_0237.jpg
2026-06-13T22:03:40.076517,2026-06-13,22:03:40,webcam,2,person,output/object\webcam_detect_20260613_220340_0732.jpg
2026-06-13T22:03:43.100798,2026-06-13,22:03:43,webcam,2,person,output/object\webcam_detect_20260613_220343_0977.jpg
2026-06-13T22:03:46.111887,2026-06-13,22:03:46,webcam,2,person,output/object\webcam_detect_20260613_220346_1079.jpg
2026-06-13T22:03:49.277223,2026-06-13,22:03:49,webcam,2,person,output/object\webcam_detect_20260613_220349_2706.jpg
2026-06-13T22:03:52.484252,2026-06-13,22:03:52,webcam,3,"person, chair",output/object\webcam_detect_20260613_220352_4807.jpg
2026-06-13T22:03:55.525830,2026-06-13,22:03:55,webcam,2,person,output/object\webcam_detect_20260613_220355_5180.jpg
2026-06-13T22:03:58.643868,2026-06-13,22:03:58,webcam,4,"person, chair",output/object\webcam_detect_20260613_220358_6394.jpg
2026-06-13T22:04:01.819135,2026-06-13,22:04:01,webcam,1,person,output/object\webcam_detect_20260613_220401_8162.jpg
2026-06-13T22:04:04.930668,2026-06-13,22:04:04,webcam,1,person,output/object\webcam_detect_20260613_220404_9275.jpg
2026-06-13T22:04:08.006472,2026-06-13,22:04:08,webcam,1,person,output/object\webcam_detect_20260613_220408_0026.jpg
2026-06-13T22:04:11.011192,2026-06-13,22:04:11,webcam,1,person,output/object\webcam_detect_20260613_220411_0083.jpg
2026-06-13T22:04:14.064917,2026-06-13,22:04:14,webcam,1,person,output/object\webcam_detect_20260613_220414_0620.jpg
2026-06-13T22:04:17.817267,2026-06-13,22:04:17,webcam,1,person,output/object\webcam_detect_20260613_220417_8132.jpg
2026-06-13T22:04:20.956252,2026-06-13,22:04:20,webcam,1,person,output/object\webcam_detect_20260613_220420_9523.jpg
2026-06-13T22:04:24.076033,2026-06-13,22:04:24,webcam,1,person,output/object\webcam_detect_20260613_220424_0712.jpg
2026-06-13T22:04:27.134799,2026-06-13,22:04:27,webcam,1,person,output/object\webcam_detect_20260613_220427_1324.jpg
2026-06-13T22:04:30.288132,2026-06-13,22:04:30,webcam,1,person,output/object\webcam_detect_20260613_220430_2844.jpg
2026-06-13T22:04:33.332772,2026-06-13,22:04:33,webcam,1,person,output/object\webcam_detect_20260613_220433_3294.jpg
2026-06-13T22:04:36.362443,2026-06-13,22:04:36,webcam,1,person,output/object\webcam_detect_20260613_220436_3588.jpg
2026-06-13T22:04:40.268786,2026-06-13,22:04:40,webcam,1,person,output/object\webcam_detect_20260613_220440_2491.jpg
2026-06-13T22:04:43.944270,2026-06-13,22:04:43,webcam,1,person,output/object\webcam_detect_20260613_220443_9380.jpg
2026-06-13T22:04:47.095336,2026-06-13,22:04:47,webcam,1,person,output/object\webcam_detect_20260613_220447_0921.jpg
2026-06-13T22:04:50.262443,2026-06-13,22:04:50,webcam,1,person,output/object\webcam_detect_20260613_220450_2559.jpg
2026-06-13T22:04:53.364390,2026-06-13,22:04:53,webcam,1,person,output/object\webcam_detect_20260613_220453_3606.jpg
2026-06-13T22:04:56.374899,2026-06-13,22:04:56,webcam,1,person,output/object\webcam_detect_20260613_220456_3690.jpg
2026-06-13T22:04:59.393793,2026-06-13,22:04:59,webcam,1,person,output/object\webcam_detect_20260613_220459_3840.jpg
2026-06-13T22:05:02.892571,2026-06-13,22:05:02,webcam,1,person,output/object\webcam_detect_20260613_220502_8889.jpg
2026-06-13T22:05:05.933784,2026-06-13,22:05:05,webcam,1,person,output/object\webcam_detect_20260613_220505_9288.jpg
2026-06-13T22:05:09.013581,2026-06-13,22:05:09,webcam,1,person,output/object\webcam_detect_20260613_220508_9642.jpg
2026-06-13T22:05:12.081756,2026-06-13,22:05:12,webcam,1,person,output/object\webcam_detect_20260613_220512_0771.jpg
2026-06-13T22:05:15.159889,2026-06-13,22:05:15,webcam,1,person,output/object\webcam_detect_20260613_220515_1546.jpg
2026-06-13T22:05:18.284879,2026-06-13,22:05:18,webcam,1,person,output/object\webcam_detect_20260613_220518_2806.jpg
2026-06-13T22:05:21.325277,2026-06-13,22:05:21,webcam,1,person,output/object\webcam_detect_20260613_220521_3201.jpg
2026-06-13T22:05:24.412115,2026-06-13,22:05:24,webcam,1,person,output/object\webcam_detect_20260613_220524_4076.jpg
2026-06-13T22:05:27.562642,2026-06-13,22:05:27,webcam,1,person,output/object\webcam_detect_20260613_220527_5571.jpg
